snapshot_145: 231 grains lot_72 discharged, 61 grains lot_73 discharged, 70 grains lot_74 discharged
snapshot_146: 233 grains lot_72 discharged, 63 grains lot_73 discharged, 72 grains lot_74 discharged
snapshot_147: 233 grains lot_72 discharged, 63 grains lot_73 discharged, 75 grains lot_74 discharged
snapshot_148: 234 grains lot_72 discharged, 67 grains lot_73 discharged, 76 grains lot_74 discharged
snapshot_149: 235 grains lot_72 discharged, 68 grains lot_73 discharged, 78 grains lot_74 discharged
snapshot_150: 237 grains lot_72 discharged, 69 grains lot_73 discharged, 78 grains lot_74 discharged
snapshot_151: 238 grains lot_72 discharged, 69 grains lot_73 discharged, 82 grains lot_74 discharged
snapshot_152: 239 grains lot_72 discharged, 69 grains lot_73 discharged, 85 grains lot_74 discharged
snapshot_153: 240 grains lot_72 discharged, 71 grains lot_73 discharged, 88 grains lot_74 discharged
snapshot_154: 240 grains lot_72 discharged, 75 grains lot_73 discharged, 90 grains lot_74 discharged
snapshot_155: 241 grains lot_72 discharged, 78 grains lot_73 discharged, 91 grains lot_74 discharged
snapshot_156: 242 grains lot_72 discharged, 80 grains lot_73 discharged, 93 grains lot_74 discharged
snapshot_157: 242 grains lot_72 discharged, 82 grains lot_73 discharged, 93 grains lot_74 discharged
snapshot_158: 242 grains lot_72 discharged, 83 grains lot_73 discharged, 96 grains lot_74 discharged
snapshot_159: 242 grains lot_72 discharged, 86 grains lot_73 discharged, 100 grains lot_74 discharged
snapshot_160: 244 grains lot_72 discharged, 86 grains lot_73 discharged, 103 grains lot_74 discharged
snapshot_161: 244 grains lot_72 discharged, 89 grains lot_73 discharged, 104 grains lot_74 discharged
snapshot_162: 245 grains lot_72 discharged, 91 grains lot_73 discharged, 107 grains lot_74 discharged
snapshot_163: 245 grains lot_72 discharged, 94 grains lot_73 discharged, 109 grains lot_74 discharged
snapshot_164: 245 grains lot_72 discharged, 96 grains lot_73 discharged, 111 grains lot_74 discharged
snapshot_165: 245 grains lot_72 discharged, 98 grains lot_73 discharged, 114 grains lot_74 discharged
snapshot_166: 246 grains lot_72 discharged, 101 grains lot_73 discharged, 117 grains lot_74 discharged
snapshot_167: 247 grains lot_72 discharged, 101 grains lot_73 discharged, 117 grains lot_74 discharged
snapshot_168: 247 grains lot_72 discharged, 102 grains lot_73 discharged, 118 grains lot_74 discharged
snapshot_169: 248 grains lot_72 discharged, 103 grains lot_73 discharged, 120 grains lot_74 discharged
snapshot_170: 250 grains lot_72 discharged, 105 grains lot_73 discharged, 122 grains lot_74 discharged
